condition,subject,session,cycle,trial,test,stimulus,category,response,dangerous,nutricious,correct,cumulative,RT,motivation,competence,communication,complement,AccuracyP,Accuracy
Dyads,32,2,1,9,0,11001.jpg 2,2,3,0,1,0,-500,47937,3,3.5,2.5,1.5,0.5658625548089762,0
Dyads,32,2,1,10,0,10110.jpg 2,4,3,1,1,0,-600,15677,3,3.5,2.5,1.5,0.6016292582811634,0
Dyads,32,2,1,11,0,01001.jpg 2,1,1,0,0,1,-500,8896,3,3.5,2.5,1.5,0.622385341872855,1
Dyads,32,2,1,12,0,00111.jpg 2,3,4,1,0,0,-600,45270,3,3.5,2.5,1.5,0.34378709226852594,0
Dyads,32,2,1,13,0,10001.jpg 2,1,3,0,0,0,-700,17155,3,3.5,2.5,1.5,0.6364770849960065,0
Dyads,32,2,1,14,0,11111.jpg 2,4,4,1,1,1,-600,27389,3,3.5,2.5,1.5,0.7125827698034516,1
Dyads,32,2,1,15,0,11000.jpg 2,2,2,0,1,1,-500,47837,3,3.5,2.5,1.5,0.47254534140209753,1
Dyads,32,2,1,16,0,10111.jpg 2,4,4,1,1,1,-400,24187,3,3.5,2.5,1.5,0.8101753089312493,1
Dyads,32,2,1,17,0,00100.jpg 2,1,1,0,0,1,-300,7156,3,3.5,2.5,1.5,0.5302899865798155,1
Dyads,32,2,1,18,0,01100.jpg 2,2,2,0,1,1,-200,11439,3,3.5,2.5,1.5,0.5854337898926019,1
Dyads,32,2,1,19,0,00011.jpg 2,3,2,1,0,0,-300,36949,3,3.5,2.5,1.5,0.6602503845338127,0
Dyads,32,2,1,20,0,10011.jpg 2,3,3,1,0,1,-200,13343,3,3.5,2.5,1.5,0.6710479731482893,1
Dyads,32,2,1,21,0,01101.jpg 2,2,2,0,1,1,-100,17995,3,3.5,2.5,1.5,0.5325214867365579,1
Dyads,32,2,1,22,0,11101.jpg 2,2,4,0,1,0,-200,8970,3,3.5,2.5,1.5,0.6248241940372032,0
Dyads,32,2,1,23,0,01111.jpg 2,4,2,1,1,0,-300,15389,3,3.5,2.5,1.5,0.5136835917878291,0
Dyads,32,2,1,24,0,11110.jpg 2,4,4,1,1,1,-200,9148,3,3.5,2.5,1.5,0.6614165228113249,1
